date,tag,published,asset,platform,downloads
2026-09-14,v1.0.2,2026-06-21,Captura-1.0.2-linux-x86_64.tar.gz,linux,0
2026-09-14,v1.0.2,2026-06-21,Captura-1.0.2-macos.dmg,macos,1
2026-09-14,v1.0.2,2026-06-21,Captura-1.0.2-windows-setup.exe,windows,2
2026-09-14,v1.0.3,2026-06-28,Captura-1.0.3-linux-x86_64.tar.gz,linux,0
2026-09-14,v1.0.3,2026-06-28,Captura-1.0.3-macos.dmg,macos,1
2026-09-14,v1.0.3,2026-06-28,Captura-1.0.3-windows-setup.exe,windows,3
2026-09-14,v1.1.0,2026-09-10,Captura-1.1.0-linux-x86_64.tar.gz,linux,0
2026-09-14,v1.1.0,2026-09-10,Captura-1.1.0-macos.dmg,macos,2
2026-09-14,v1.1.0,2026-09-10,Captura-1.1.0-windows-setup.exe,windows,0
2026-09-14,v1.1.1,2026-09-10,Captura-1.1.1-linux-x86_64.tar.gz,linux,0
2026-09-14,v1.1.1,2026-09-10,Captura-1.1.1-macos.dmg,macos,2
2026-09-14,v1.1.1,2026-09-10,Captura-1.1.1-windows-setup.exe,windows,0
2026-09-15,v1.0.0,2026-06-20,Captura-1.0.0-linux-x86_64.tar.gz,linux,0
2026-09-15,v1.0.0,2026-06-20,Captura-1.0.0-macos.dmg,macos,1
2026-09-15,v1.0.0,2026-06-20,Captura-1.0.0-windows-setup.exe,windows,1
2026-09-15,v1.0.1,2026-06-20,Captura-1.0.1-linux-x86_64.tar.gz,linux,0
2026-09-15,v1.0.1,2026-06-20,Captura-1.0.1-macos.dmg,macos,0
2026-09-15,v1.0.1,2026-06-20,Captura-1.0.1-windows-setup.exe,windows,0
2026-09-15,v1.0.2,2026-06-21,Captura-1.0.2-linux-x86_64.tar.gz,linux,0
2026-09-15,v1.0.2,2026-06-21,Captura-1.0.2-macos.dmg,macos,1
2026-09-15,v1.0.2,2026-06-21,Captura-1.0.2-windows-setup.exe,windows,2
2026-09-15,v1.0.3,2026-06-28,Captura-1.0.3-linux-x86_64.tar.gz,linux,0
2026-09-15,v1.0.3,2026-06-28,Captura-1.0.3-macos.dmg,macos,1
2026-09-15,v1.0.3,2026-06-28,Captura-1.0.3-windows-setup.exe,windows,3
2026-09-15,v1.1.0,2026-09-10,Captura-1.1.0-linux-x86_64.tar.gz,linux,0
2026-09-15,v1.1.0,2026-09-10,Captura-1.1.0-macos.dmg,macos,2
2026-09-15,v1.1.0,2026-09-10,Captura-1.1.0-windows-setup.exe,windows,0
2026-09-15,v1.1.1,2026-09-10,Captura-1.1.1-linux-x86_64.tar.gz,linux,0
2026-09-15,v1.1.1,2026-09-10,Captura-1.1.1-macos.dmg,macos,2
2026-09-15,v1.1.1,2026-09-10,Captura-1.1.1-windows-setup.exe,windows,1
2026-09-16,v1.0.0,2026-06-20,Captura-1.0.0-linux-x86_64.tar.gz,linux,0
2026-09-16,v1.0.0,2026-06-20,Captura-1.0.0-macos.dmg,macos,1
2026-09-16,v1.0.0,2026-06-20,Captura-1.0.0-windows-setup.exe,windows,1
2026-09-16,v1.0.1,2026-06-20,Captura-1.0.1-linux-x86_64.tar.gz,linux,0
2026-09-16,v1.0.1,2026-06-20,Captura-1.0.1-macos.dmg,macos,0
2026-09-16,v1.0.1,2026-06-20,Captura-1.0.1-windows-setup.exe,windows,0
2026-09-16,v1.0.2,2026-06-21,Captura-1.0.2-linux-x86_64.tar.gz,linux,0
2026-09-16,v1.0.2,2026-06-21,Captura-1.0.2-macos.dmg,macos,1
2026-09-16,v1.0.2,2026-06-21,Captura-1.0.2-windows-setup.exe,windows,2
2026-09-16,v1.0.3,2026-06-28,Captura-1.0.3-linux-x86_64.tar.gz,linux,0
2026-09-16,v1.0.3,2026-06-28,Captura-1.0.3-macos.dmg,macos,1
2026-09-16,v1.0.3,2026-06-28,Captura-1.0.3-windows-setup.exe,windows,3
2026-09-16,v1.1.0,2026-09-10,Captura-1.1.0-linux-x86_64.tar.gz,linux,0
2026-09-16,v1.1.0,2026-09-10,Captura-1.1.0-macos.dmg,macos,2
2026-09-16,v1.1.0,2026-09-10,Captura-1.1.0-windows-setup.exe,windows,0
2026-09-16,v1.1.1,2026-09-10,Captura-1.1.1-linux-x86_64.tar.gz,linux,0
2026-09-16,v1.1.1,2026-09-10,Captura-1.1.1-macos.dmg,macos,2
2026-09-16,v1.1.1,2026-09-10,Captura-1.1.1-windows-setup.exe,windows,1
2026-09-17,v1.0.0,2026-06-20,Captura-1.0.0-linux-x86_64.tar.gz,linux,0
2026-09-17,v1.0.0,2026-06-20,Captura-1.0.0-macos.dmg,macos,1
2026-09-17,v1.0.0,2026-06-20,Captura-1.0.0-windows-setup.exe,windows,1
2026-09-17,v1.0.1,2026-06-20,Captura-1.0.1-linux-x86_64.tar.gz,linux,0
2026-09-17,v1.0.1,2026-06-20,Captura-1.0.1-macos.dmg,macos,0
2026-09-17,v1.0.1,2026-06-20,Captura-1.0.1-windows-setup.exe,windows,0
2026-09-17,v1.0.2,2026-06-21,Captura-1.0.2-linux-x86_64.tar.gz,linux,0
2026-09-17,v1.0.2,2026-06-21,Captura-1.0.2-macos.dmg,macos,1
2026-09-17,v1.0.2,2026-06-21,Captura-1.0.2-windows-setup.exe,windows,2
2026-09-17,v1.0.3,2026-06-28,Captura-1.0.3-linux-x86_64.tar.gz,linux,0
2026-09-17,v1.0.3,2026-06-28,Captura-1.0.3-macos.dmg,macos,1
2026-09-17,v1.0.3,2026-06-28,Captura-1.0.3-windows-setup.exe,windows,3
2026-09-17,v1.1.0,2026-09-10,Captura-1.1.0-linux-x86_64.tar.gz,linux,0
2026-09-17,v1.1.0,2026-09-10,Captura-1.1.0-macos.dmg,macos,2
2026-09-17,v1.1.0,2026-09-10,Captura-1.1.0-windows-setup.exe,windows,0
2026-09-17,v1.1.1,2026-09-10,Captura-1.1.1-linux-x86_64.tar.gz,linux,0
2026-09-17,v1.1.1,2026-09-10,Captura-1.1.1-macos.dmg,macos,4
2026-09-17,v1.1.1,2026-09-10,Captura-1.1.1-windows-setup.exe,windows,1
2026-09-17,v1.1.2,2026-09-17,Captura-1.1.2-linux-x86_64.tar.gz,linux,0
2026-09-17,v1.1.2,2026-09-17,Captura-1.1.2-macos.dmg,macos,2
2026-09-17,v1.1.2,2026-09-17,Captura-1.1.2-windows-setup.exe,windows,0
2026-09-17,v1.1.3,2026-09-17,Captura-1.1.3-linux-x86_64.tar.gz,linux,0
2026-09-17,v1.1.3,2026-09-17,Captura-1.1.3-macos.dmg,macos,1
2026-09-17,v1.1.3,2026-09-17,Captura-1.1.3-windows-setup.exe,windows,0
2026-09-18,v1.0.0,2026-06-20,Captura-1.0.0-linux-x86_64.tar.gz,linux,0
2026-09-18,v1.0.0,2026-06-20,Captura-1.0.0-macos.dmg,macos,1
2026-09-18,v1.0.0,2026-06-20,Captura-1.0.0-windows-setup.exe,windows,1
2026-09-18,v1.0.1,2026-06-20,Captura-1.0.1-linux-x86_64.tar.gz,linux,0
2026-09-18,v1.0.1,2026-06-20,Captura-1.0.1-macos.dmg,macos,0
2026-09-18,v1.0.1,2026-06-20,Captura-1.0.1-windows-setup.exe,windows,0
2026-09-18,v1.0.2,2026-06-21,Captura-1.0.2-linux-x86_64.tar.gz,linux,0
2026-09-18,v1.0.2,2026-06-21,Captura-1.0.2-macos.dmg,macos,1
2026-09-18,v1.0.2,2026-06-21,Captura-1.0.2-windows-setup.exe,windows,2
2026-09-18,v1.0.3,2026-06-28,Captura-1.0.3-linux-x86_64.tar.gz,linux,0
2026-09-18,v1.0.3,2026-06-28,Captura-1.0.3-macos.dmg,macos,1
2026-09-18,v1.0.3,2026-06-28,Captura-1.0.3-windows-setup.exe,windows,3
2026-09-18,v1.1.0,2026-09-10,Captura-1.1.0-linux-x86_64.tar.gz,linux,0
2026-09-18,v1.1.0,2026-09-10,Captura-1.1.0-macos.dmg,macos,2
2026-09-18,v1.1.0,2026-09-10,Captura-1.1.0-windows-setup.exe,windows,0
2026-09-18,v1.1.1,2026-09-10,Captura-1.1.1-linux-x86_64.tar.gz,linux,0
2026-09-18,v1.1.1,2026-09-10,Captura-1.1.1-macos.dmg,macos,4
2026-09-18,v1.1.1,2026-09-10,Captura-1.1.1-windows-setup.exe,windows,1
2026-09-18,v1.1.2,2026-09-17,Captura-1.1.2-linux-x86_64.tar.gz,linux,0
2026-09-18,v1.1.2,2026-09-17,Captura-1.1.2-macos.dmg,macos,2
2026-09-18,v1.1.2,2026-09-17,Captura-1.1.2-windows-setup.exe,windows,0
2026-09-18,v1.1.3,2026-09-17,Captura-1.1.3-linux-x86_64.tar.gz,linux,0
2026-09-18,v1.1.3,2026-09-17,Captura-1.1.3-macos.dmg,macos,1
2026-09-18,v1.1.3,2026-09-17,Captura-1.1.3-windows-setup.exe,windows,0
2026-09-18,v1.1.4,2026-09-17,Captura-1.1.4-linux-x86_64.tar.gz,linux,0
2026-09-18,v1.1.4,2026-09-17,Captura-1.1.4-macos.dmg,macos,2
2026-09-18,v1.1.4,2026-09-17,Captura-1.1.4-windows-setup.exe,windows,0
2026-09-19,v1.0.0,2026-06-20,Captura-1.0.0-linux-x86_64.tar.gz,linux,0
2026-09-19,v1.0.0,2026-06-20,Captura-1.0.0-macos.dmg,macos,1
2026-09-19,v1.0.0,2026-06-20,Captura-1.0.0-windows-setup.exe,windows,1
2026-09-19,v1.0.1,2026-06-20,Captura-1.0.1-linux-x86_64.tar.gz,linux,0
2026-09-19,v1.0.1,2026-06-20,Captura-1.0.1-macos.dmg,macos,0
2026-09-19,v1.0.1,2026-06-20,Captura-1.0.1-windows-setup.exe,windows,0
2026-09-19,v1.0.2,2026-06-21,Captura-1.0.2-linux-x86_64.tar.gz,linux,0
2026-09-19,v1.0.2,2026-06-21,Captura-1.0.2-macos.dmg,macos,1
2026-09-19,v1.0.2,2026-06-21,Captura-1.0.2-windows-setup.exe,windows,2
2026-09-19,v1.0.3,2026-06-28,Captura-1.0.3-linux-x86_64.tar.gz,linux,0
2026-09-19,v1.0.3,2026-06-28,Captura-1.0.3-macos.dmg,macos,1
2026-09-19,v1.0.3,2026-06-28,Captura-1.0.3-windows-setup.exe,windows,3
2026-09-19,v1.1.0,2026-09-10,Captura-1.1.0-linux-x86_64.tar.gz,linux,0
2026-09-19,v1.1.0,2026-09-10,Captura-1.1.0-macos.dmg,macos,2
2026-09-19,v1.1.0,2026-09-10,Captura-1.1.0-windows-setup.exe,windows,0
2026-09-19,v1.1.1,2026-09-10,Captura-1.1.1-linux-x86_64.tar.gz,linux,0
2026-09-19,v1.1.1,2026-09-10,Captura-1.1.1-macos.dmg,macos,4
2026-09-19,v1.1.1,2026-09-10,Captura-1.1.1-windows-setup.exe,windows,1
2026-09-19,v1.1.2,2026-09-17,Captura-1.1.2-linux-x86_64.tar.gz,linux,0
2026-09-19,v1.1.2,2026-09-17,Captura-1.1.2-macos.dmg,macos,2
2026-09-19,v1.1.2,2026-09-17,Captura-1.1.2-windows-setup.exe,windows,0
2026-09-19,v1.1.3,2026-09-17,Captura-1.1.3-linux-x86_64.tar.gz,linux,0
2026-09-19,v1.1.3,2026-09-17,Captura-1.1.3-macos.dmg,macos,1
2026-09-19,v1.1.3,2026-09-17,Captura-1.1.3-windows-setup.exe,windows,0
2026-09-19,v1.1.4,2026-09-17,Captura-1.1.4-linux-x86_64.tar.gz,linux,0
2026-09-19,v1.1.4,2026-09-17,Captura-1.1.4-macos.dmg,macos,2
2026-09-19,v1.1.4,2026-09-17,Captura-1.1.4-windows-setup.exe,windows,0
2026-09-20,v1.0.0,2026-06-20,Captura-1.0.0-linux-x86_64.tar.gz,linux,0
2026-09-20,v1.0.0,2026-06-20,Captura-1.0.0-macos.dmg,macos,1
2026-09-20,v1.0.0,2026-06-20,Captura-1.0.0-windows-setup.exe,windows,1
2026-09-20,v1.0.1,2026-06-20,Captura-1.0.1-linux-x86_64.tar.gz,linux,0
2026-09-20,v1.0.1,2026-06-20,Captura-1.0.1-macos.dmg,macos,0
2026-09-20,v1.0.1,2026-06-20,Captura-1.0.1-windows-setup.exe,windows,0
2026-09-20,v1.0.2,2026-06-21,Captura-1.0.2-linux-x86_64.tar.gz,linux,0
2026-09-20,v1.0.2,2026-06-21,Captura-1.0.2-macos.dmg,macos,1
2026-09-20,v1.0.2,2026-06-21,Captura-1.0.2-windows-setup.exe,windows,2
2026-09-20,v1.0.3,2026-06-28,Captura-1.0.3-linux-x86_64.tar.gz,linux,0
2026-09-20,v1.0.3,2026-06-28,Captura-1.0.3-macos.dmg,macos,1
2026-09-20,v1.0.3,2026-06-28,Captura-1.0.3-windows-setup.exe,windows,3
2026-09-20,v1.1.0,2026-09-10,Captura-1.1.0-linux-x86_64.tar.gz,linux,0
2026-09-20,v1.1.0,2026-09-10,Captura-1.1.0-macos.dmg,macos,2
2026-09-20,v1.1.0,2026-09-10,Captura-1.1.0-windows-setup.exe,windows,0
2026-09-20,v1.1.1,2026-09-10,Captura-1.1.1-linux-x86_64.tar.gz,linux,0
2026-09-20,v1.1.1,2026-09-10,Captura-1.1.1-macos.dmg,macos,4
2026-09-20,v1.1.1,2026-09-10,Captura-1.1.1-windows-setup.exe,windows,1
2026-09-20,v1.1.2,2026-09-17,Captura-1.1.2-linux-x86_64.tar.gz,linux,0
2026-09-20,v1.1.2,2026-09-17,Captura-1.1.2-macos.dmg,macos,2
2026-09-20,v1.1.2,2026-09-17,Captura-1.1.2-windows-setup.exe,windows,0
2026-09-20,v1.1.3,2026-09-17,Captura-1.1.3-linux-x86_64.tar.gz,linux,0
2026-09-20,v1.1.3,2026-09-17,Captura-1.1.3-macos.dmg,macos,1
2026-09-20,v1.1.3,2026-09-17,Captura-1.1.3-windows-setup.exe,windows,0
2026-09-20,v1.1.4,2026-09-17,Captura-1.1.4-linux-x86_64.tar.gz,linux,0
2026-09-20,v1.1.4,2026-09-17,Captura-1.1.4-macos.dmg,macos,2
2026-09-20,v1.1.4,2026-09-17,Captura-1.1.4-windows-setup.exe,windows,0
2026-09-21,v1.0.0,2026-06-20,Captura-1.0.0-linux-x86_64.tar.gz,linux,0
2026-09-21,v1.0.0,2026-06-20,Captura-1.0.0-macos.dmg,macos,1
2026-09-21,v1.0.0,2026-06-20,Captura-1.0.0-windows-setup.exe,windows,1
2026-09-21,v1.0.1,2026-06-20,Captura-1.0.1-linux-x86_64.tar.gz,linux,0
2026-09-21,v1.0.1,2026-06-20,Captura-1.0.1-macos.dmg,macos,0
2026-09-21,v1.0.1,2026-06-20,Captura-1.0.1-windows-setup.exe,windows,0
2026-09-21,v1.0.2,2026-06-21,Captura-1.0.2-linux-x86_64.tar.gz,linux,0
2026-09-21,v1.0.2,2026-06-21,Captura-1.0.2-macos.dmg,macos,1
2026-09-21,v1.0.2,2026-06-21,Captura-1.0.2-windows-setup.exe,windows,2
2026-09-21,v1.0.3,2026-06-28,Captura-1.0.3-linux-x86_64.tar.gz,linux,0
2026-09-21,v1.0.3,2026-06-28,Captura-1.0.3-macos.dmg,macos,1
2026-09-21,v1.0.3,2026-06-28,Captura-1.0.3-windows-setup.exe,windows,3
2026-09-21,v1.1.0,2026-09-10,Captura-1.1.0-linux-x86_64.tar.gz,linux,0
2026-09-21,v1.1.0,2026-09-10,Captura-1.1.0-macos.dmg,macos,2
2026-09-21,v1.1.0,2026-09-10,Captura-1.1.0-windows-setup.exe,windows,0
2026-09-21,v1.1.1,2026-09-10,Captura-1.1.1-linux-x86_64.tar.gz,linux,0
2026-09-21,v1.1.1,2026-09-10,Captura-1.1.1-macos.dmg,macos,4
2026-09-21,v1.1.1,2026-09-10,Captura-1.1.1-windows-setup.exe,windows,1
2026-09-21,v1.1.2,2026-09-17,Captura-1.1.2-linux-x86_64.tar.gz,linux,0
2026-09-21,v1.1.2,2026-09-17,Captura-1.1.2-macos.dmg,macos,2
2026-09-21,v1.1.2,2026-09-17,Captura-1.1.2-windows-setup.exe,windows,0
2026-09-21,v1.1.3,2026-09-17,Captura-1.1.3-linux-x86_64.tar.gz,linux,0
2026-09-21,v1.1.3,2026-09-17,Captura-1.1.3-macos.dmg,macos,1
2026-09-21,v1.1.3,2026-09-17,Captura-1.1.3-windows-setup.exe,windows,0
2026-09-21,v1.1.4,2026-09-17,Captura-1.1.4-linux-x86_64.tar.gz,linux,0
2026-09-21,v1.1.4,2026-09-17,Captura-1.1.4-macos.dmg,macos,2
2026-09-21,v1.1.4,2026-09-17,Captura-1.1.4-windows-setup.exe,windows,0
2026-09-22,v1.0.0,2026-06-20,Captura-1.0.0-linux-x86_64.tar.gz,linux,0
2026-09-22,v1.0.0,2026-06-20,Captura-1.0.0-macos.dmg,macos,1
2026-09-22,v1.0.0,2026-06-20,Captura-1.0.0-windows-setup.exe,windows,1
2026-09-22,v1.0.1,2026-06-20,Captura-1.0.1-linux-x86_64.tar.gz,linux,0
2026-09-22,v1.0.1,2026-06-20,Captura-1.0.1-macos.dmg,macos,0
2026-09-22,v1.0.1,2026-06-20,Captura-1.0.1-windows-setup.exe,windows,0
2026-09-22,v1.0.2,2026-06-21,Captura-1.0.2-linux-x86_64.tar.gz,linux,0
2026-09-22,v1.0.2,2026-06-21,Captura-1.0.2-macos.dmg,macos,1
2026-09-22,v1.0.2,2026-06-21,Captura-1.0.2-windows-setup.exe,windows,2
2026-09-22,v1.0.3,2026-06-28,Captura-1.0.3-linux-x86_64.tar.gz,linux,0
2026-09-22,v1.0.3,2026-06-28,Captura-1.0.3-macos.dmg,macos,1
2026-09-22,v1.0.3,2026-06-28,Captura-1.0.3-windows-setup.exe,windows,3
2026-09-22,v1.1.0,2026-09-10,Captura-1.1.0-linux-x86_64.tar.gz,linux,0
2026-09-22,v1.1.0,2026-09-10,Captura-1.1.0-macos.dmg,macos,2
2026-09-22,v1.1.0,2026-09-10,Captura-1.1.0-windows-setup.exe,windows,0
2026-09-22,v1.1.1,2026-09-10,Captura-1.1.1-linux-x86_64.tar.gz,linux,0
2026-09-22,v1.1.1,2026-09-10,Captura-1.1.1-macos.dmg,macos,4
2026-09-22,v1.1.1,2026-09-10,Captura-1.1.1-windows-setup.exe,windows,1
2026-09-22,v1.1.2,2026-09-17,Captura-1.1.2-linux-x86_64.tar.gz,linux,0
2026-09-22,v1.1.2,2026-09-17,Captura-1.1.2-macos.dmg,macos,2
2026-09-22,v1.1.2,2026-09-17,Captura-1.1.2-windows-setup.exe,windows,0
2026-09-22,v1.1.3,2026-09-17,Captura-1.1.3-linux-x86_64.tar.gz,linux,0
2026-09-22,v1.1.3,2026-09-17,Captura-1.1.3-macos.dmg,macos,1
2026-09-22,v1.1.3,2026-09-17,Captura-1.1.3-windows-setup.exe,windows,0
2026-09-22,v1.1.4,2026-09-17,Captura-1.1.4-linux-x86_64.tar.gz,linux,0
2026-09-22,v1.1.4,2026-09-17,Captura-1.1.4-macos.dmg,macos,2
2026-09-22,v1.1.4,2026-09-17,Captura-1.1.4-windows-setup.exe,windows,0
2026-09-23,v1.0.0,2026-06-20,Captura-1.0.0-linux-x86_64.tar.gz,linux,0
2026-09-23,v1.0.0,2026-06-20,Captura-1.0.0-macos.dmg,macos,1
2026-09-23,v1.0.0,2026-06-20,Captura-1.0.0-windows-setup.exe,windows,1
2026-09-23,v1.0.1,2026-06-20,Captura-1.0.1-linux-x86_64.tar.gz,linux,0
2026-09-23,v1.0.1,2026-06-20,Captura-1.0.1-macos.dmg,macos,0
2026-09-23,v1.0.1,2026-06-20,Captura-1.0.1-windows-setup.exe,windows,0
2026-09-23,v1.0.2,2026-06-21,Captura-1.0.2-linux-x86_64.tar.gz,linux,0
2026-09-23,v1.0.2,2026-06-21,Captura-1.0.2-macos.dmg,macos,1
2026-09-23,v1.0.2,2026-06-21,Captura-1.0.2-windows-setup.exe,windows,2
2026-09-23,v1.0.3,2026-06-28,Captura-1.0.3-linux-x86_64.tar.gz,linux,0
2026-09-23,v1.0.3,2026-06-28,Captura-1.0.3-macos.dmg,macos,1
2026-09-23,v1.0.3,2026-06-28,Captura-1.0.3-windows-setup.exe,windows,3
2026-09-23,v1.1.0,2026-09-10,Captura-1.1.0-linux-x86_64.tar.gz,linux,0
2026-09-23,v1.1.0,2026-09-10,Captura-1.1.0-macos.dmg,macos,2
2026-09-23,v1.1.0,2026-09-10,Captura-1.1.0-windows-setup.exe,windows,0
2026-09-23,v1.1.1,2026-09-10,Captura-1.1.1-linux-x86_64.tar.gz,linux,0
2026-09-23,v1.1.1,2026-09-10,Captura-1.1.1-macos.dmg,macos,4
2026-09-23,v1.1.1,2026-09-10,Captura-1.1.1-windows-setup.exe,windows,1
2026-09-23,v1.1.2,2026-09-17,Captura-1.1.2-linux-x86_64.tar.gz,linux,0
2026-09-23,v1.1.2,2026-09-17,Captura-1.1.2-macos.dmg,macos,2
2026-09-23,v1.1.2,2026-09-17,Captura-1.1.2-windows-setup.exe,windows,0
2026-09-23,v1.1.3,2026-09-17,Captura-1.1.3-linux-x86_64.tar.gz,linux,0
2026-09-23,v1.1.3,2026-09-17,Captura-1.1.3-macos.dmg,macos,1
2026-09-23,v1.1.3,2026-09-17,Captura-1.1.3-windows-setup.exe,windows,0
2026-09-23,v1.1.4,2026-09-17,Captura-1.1.4-linux-x86_64.tar.gz,linux,0
2026-09-23,v1.1.4,2026-09-17,Captura-1.1.4-macos.dmg,macos,2
2026-09-23,v1.1.4,2026-09-17,Captura-1.1.4-windows-setup.exe,windows,0
2026-09-24,v1.0.0,2026-06-20,Captura-1.0.0-linux-x86_64.tar.gz,linux,0
2026-09-24,v1.0.0,2026-06-20,Captura-1.0.0-macos.dmg,macos,1
2026-09-24,v1.0.0,2026-06-20,Captura-1.0.0-windows-setup.exe,windows,1
2026-09-24,v1.0.1,2026-06-20,Captura-1.0.1-linux-x86_64.tar.gz,linux,0
2026-09-24,v1.0.1,2026-06-20,Captura-1.0.1-macos.dmg,macos,0
2026-09-24,v1.0.1,2026-06-20,Captura-1.0.1-windows-setup.exe,windows,0
2026-09-24,v1.0.2,2026-06-21,Captura-1.0.2-linux-x86_64.tar.gz,linux,0
2026-09-24,v1.0.2,2026-06-21,Captura-1.0.2-macos.dmg,macos,1
2026-09-24,v1.0.2,2026-06-21,Captura-1.0.2-windows-setup.exe,windows,2
